,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lagoa,37.1363,-8.4541,66.8,68,0,8.03,PT,1569736800
1,Rikitea,-23.1203,-134.9692,71.66,86,6,10.51,PF,1569736800
2,Albany,42.6512,-73.755,64.4,95,88,4.76,US,1569736800
3,Esperance,-33.8583,121.8932,62.44,87,37,18.97,AU,1569736800
4,Faanui,-16.4834,-151.75,78.16,84,19,20.13,PF,1569736800
5,Hithadhoo,-0.6,73.0833,83.38,71,79,10.94,MV,1569736800
6,Kikwit,-5.0384,18.8178,72.7,84,100,1.81,CD,1569736800
7,Klaksvik,62.2266,-6.5891,48.01,96,100,17.13,FO,1569736800
8,Saint-Philippe,45.3584,-73.4791,55.69,63,48,9.71,CA,1569736800
9,Banda Aceh,5.5577,95.3222,82.8,73,40,8.3,ID,1569736800
10,New Norfolk,-42.7802,147.0615,50.79,56,56,10.51,AU,1569736800
11,Tasiilaq,65.6145,-37.6368,40.01,55,0,4.27,GL,1569736800
12,Port Lincoln,-34.7212,135.8592,54.97,72,71,11.74,AU,1569736800
13,Tingi,-11.3,35.0333,75.15,52,32,2.84,TZ,1569736800
14,Barrow,-38.3131,-60.2291,58.27,84,0,14.92,AR,1569736800
15,Hambantota,6.1241,81.1185,79.7,85,100,15.26,LK,1569736800
16,Kavaratti,10.5669,72.642,84.06,68,71,3.04,IN,1569736800
17,Port Alfred,-33.5906,26.891,66.79,74,100,8.21,ZA,1569736800
18,Zyryanka,65.7336,150.8933,33.75,62,82,4.38,RU,1569736800
19,Beloha,-25.1739,45.0615,72.45,60,10,4.7,MG,1569736800
20,Punta Arenas,-53.1627,-70.9081,36.36,93,67,6.49,CL,1569736800
21,Dingle,11.0001,122.6718,87.05,66,31,13.6,PH,1569736800
22,La Ronge,55.1004,-105.3013,35.01,79,0,4.97,CA,1569736800
23,Arecibo,18.4703,-66.7192,78.25,85,90,5.01,PR,1569736800
24,Byron Bay,-28.65,153.6167,71.6,63,0,6.08,AU,1569736800
25,Hermanus,-34.4176,19.2361,60.33,92,100,32.7,ZA,1569736800
26,Ushuaia,-54.807,-68.3074,36.39,97,95,2.95,AR,1569736800
27,Codrington,-28.9484,153.2428,74.57,46,50,8.81,AU,1569736800
28,Chokurdakh,70.6192,147.9022,30.38,95,99,5.21,RU,1569736800
29,Gat,14.6934,-16.5351,78.17,84,0,10.56,SN,1569736800
30,Carnarvon,-30.9678,22.1333,62.1,44,100,18.45,ZA,1569736800
31,Yulin,38.2951,109.7476,75.55,32,0,14.94,CN,1569736800
32,Busselton,-33.6445,115.3489,74.41,75,0,3.22,AU,1569736800
33,Tamala,52.5398,43.255,48.01,70,94,7.61,RU,1569736800
